datetime_utc,Solar
2024-01-01 00:00:00+00:00,0.01
2024-01-01 01:00:00+00:00,0.01
2024-01-01 02:00:00+00:00,0.01
2024-01-01 03:00:00+00:00,0.05
2024-01-01 04:00:00+00:00,0.04
2024-01-01 05:00:00+00:00,0.78
2024-01-01 06:00:00+00:00,115.47
2024-01-01 07:00:00+00:00,549.42
2024-01-01 08:00:00+00:00,984.18
2024-01-01 09:00:00+00:00,1139.96
2024-01-01 10:00:00+00:00,1126.39
2024-01-01 11:00:00+00:00,1067.58
2024-01-01 12:00:00+00:00,826.89
2024-01-01 13:00:00+00:00,455.18
2024-01-01 14:00:00+00:00,88.31
2024-01-01 15:00:00+00:00,0.33
2024-01-01 16:00:00+00:00,0.07
2024-01-01 17:00:00+00:00,0.07
2024-01-01 18:00:00+00:00,0.07
2024-01-01 19:00:00+00:00,0.02
2024-01-01 20:00:00+00:00,0.01
2024-01-01 21:00:00+00:00,0.01
2024-01-01 22:00:00+00:00,0.01
2024-01-01 23:00:00+00:00,0.01
2024-01-02 00:00:00+00:00,0.01
2024-01-02 01:00:00+00:00,0.01
2024-01-02 02:00:00+00:00,0.01
2024-01-02 03:00:00+00:00,0.02
2024-01-02 04:00:00+00:00,0.03
2024-01-02 05:00:00+00:00,0.09
2024-01-02 06:00:00+00:00,20.51
2024-01-02 07:00:00+00:00,102.56
2024-01-02 08:00:00+00:00,194.89
2024-01-02 09:00:00+00:00,306.18
2024-01-02 10:00:00+00:00,509.53
2024-01-02 11:00:00+00:00,642.54
2024-01-02 12:00:00+00:00,795.66
2024-01-02 13:00:00+00:00,574.08
2024-01-02 14:00:00+00:00,113.17
2024-01-02 15:00:00+00:00,0.43
2024-01-02 16:00:00+00:00,0.06
2024-01-02 17:00:00+00:00,0.06
2024-01-02 18:00:00+00:00,0.04
2024-01-02 19:00:00+00:00,0.02
2024-01-02 20:00:00+00:00,0.01
2024-01-02 21:00:00+00:00,0.01
2024-01-02 22:00:00+00:00,0.01
2024-01-02 23:00:00+00:00,0.01
2024-01-03 00:00:00+00:00,0.01
2024-01-03 01:00:00+00:00,0.01
2024-01-03 02:00:00+00:00,0.01
2024-01-03 03:00:00+00:00,0.02
2024-01-03 04:00:00+00:00,0.02
2024-01-03 05:00:00+00:00,0.07
2024-01-03 06:00:00+00:00,39.04
2024-01-03 07:00:00+00:00,165.78
2024-01-03 08:00:00+00:00,236.44
2024-01-03 09:00:00+00:00,226.93
2024-01-03 10:00:00+00:00,196.47
2024-01-03 11:00:00+00:00,174.32
2024-01-03 12:00:00+00:00,157.49
2024-01-03 13:00:00+00:00,151.04
2024-01-03 14:00:00+00:00,41.26
2024-01-03 15:00:00+00:00,0.16
2024-01-03 16:00:00+00:00,0.06
2024-01-03 17:00:00+00:00,0.08
