datetime_utc,Wind Onshore
2024-01-01 00:00:00+00:00,116.11
2024-01-01 01:00:00+00:00,151.61
2024-01-01 02:00:00+00:00,115.12
2024-01-01 03:00:00+00:00,97.92
2024-01-01 04:00:00+00:00,89.98
2024-01-01 05:00:00+00:00,96.16
2024-01-01 06:00:00+00:00,98.22
2024-01-01 07:00:00+00:00,101.94
2024-01-01 08:00:00+00:00,146.68
2024-01-01 09:00:00+00:00,161.99
2024-01-01 10:00:00+00:00,174.98
2024-01-01 11:00:00+00:00,179.83
2024-01-01 12:00:00+00:00,119.84
2024-01-01 13:00:00+00:00,119.2
2024-01-01 14:00:00+00:00,93.39
2024-01-01 15:00:00+00:00,95.65
2024-01-01 16:00:00+00:00,96.47
2024-01-01 17:00:00+00:00,122.28
2024-01-01 18:00:00+00:00,138.54
2024-01-01 19:00:00+00:00,120.45
2024-01-01 20:00:00+00:00,138.69
2024-01-01 21:00:00+00:00,121.15
2024-01-01 22:00:00+00:00,123.09
2024-01-01 23:00:00+00:00,150.9
2024-01-02 00:00:00+00:00,132.88
2024-01-02 01:00:00+00:00,112.32
2024-01-02 02:00:00+00:00,116.54
2024-01-02 03:00:00+00:00,113.91
2024-01-02 04:00:00+00:00,149.08
2024-01-02 05:00:00+00:00,116.25
2024-01-02 06:00:00+00:00,146.99
2024-01-02 07:00:00+00:00,159.63
2024-01-02 08:00:00+00:00,94.88
2024-01-02 09:00:00+00:00,160.48
2024-01-02 10:00:00+00:00,257.91
2024-01-02 11:00:00+00:00,245.88
2024-01-02 12:00:00+00:00,129.68
2024-01-02 13:00:00+00:00,145.22
2024-01-02 14:00:00+00:00,149.78
2024-01-02 15:00:00+00:00,180.44
2024-01-02 16:00:00+00:00,212.55
2024-01-02 17:00:00+00:00,178.02
2024-01-02 18:00:00+00:00,223.78
2024-01-02 19:00:00+00:00,243.77
2024-01-02 20:00:00+00:00,250.45
2024-01-02 21:00:00+00:00,161.29
2024-01-02 22:00:00+00:00,103.54
2024-01-02 23:00:00+00:00,56.75
2024-01-03 00:00:00+00:00,83.28
2024-01-03 01:00:00+00:00,114.31
2024-01-03 02:00:00+00:00,159.95
2024-01-03 03:00:00+00:00,200.74
2024-01-03 04:00:00+00:00,223.75
2024-01-03 05:00:00+00:00,232.89
2024-01-03 06:00:00+00:00,207.5
2024-01-03 07:00:00+00:00,180.54
2024-01-03 08:00:00+00:00,137.4
2024-01-03 09:00:00+00:00,109.01
2024-01-03 10:00:00+00:00,116.79
2024-01-03 11:00:00+00:00,153.02
2024-01-03 12:00:00+00:00,216.69
2024-01-03 13:00:00+00:00,294.35
2024-01-03 14:00:00+00:00,366.66
2024-01-03 15:00:00+00:00,316.27
2024-01-03 16:00:00+00:00,267.55
2024-01-03 17:00:00+00:00,292.32
2024-01-03 18:00:00+00:00,348.86
2024-01-03 19:00:00+00:00,395.36
2024-01-03 20:00:00+00:00,322.85
2024-01-03 21:00:00+00:00,294.63
2024-01-03 22:00:00+00:00,303.19
2024-01-03 23:00:00+00:00,295.31
2024-01-04 00:00:00+00:00,314.05
2024-01-04 01:00:00+00:00,255.41
2024-01-04 02:00:00+00:00,222.49
2024-01-04 03:00:00+00:00,231.58
2024-01-04 04:00:00+00:00,301.11
2024-01-04 05:00:00+00:00,355.24
2024-01-04 06:00:00+00:00,349.18
2024-01-04 07:00:00+00:00,267.42
2024-01-04 08:00:00+00:00,217.79
2024-01-04 09:00:00+00:00,189.05
2024-01-04 10:00:00+00:00,136.3
2024-01-04 11:00:00+00:00,112.2
2024-01-04 12:00:00+00:00,103.99
2024-01-04 13:00:00+00:00,117.42
2024-01-04 14:00:00+00:00,128.79
2024-01-04 15:00:00+00:00,211.26
2024-01-04 16:00:00+00:00,271.43
2024-01-04 17:00:00+00:00,422.25
2024-01-04 18:00:00+00:00,427.06
2024-01-04 19:00:00+00:00,448.01
2024-01-04 20:00:00+00:00,456.57
2024-01-04 21:00:00+00:00,430.17
2024-01-04 22:00:00+00:00,471.45
2024-01-04 23:00:00+00:00,486.91
2024-01-05 00:00:00+00:00,453.15
2024-01-05 01:00:00+00:00,511.79
2024-01-05 02:00:00+00:00,534.14
2024-01-05 03:00:00+00:00,509.66
2024-01-05 04:00:00+00:00,511.71
2024-01-05 05:00:00+00:00,457.51
2024-01-05 06:00:00+00:00,416.11
2024-01-05 07:00:00+00:00,283.13
2024-01-05 08:00:00+00:00,275.47
2024-01-05 09:00:00+00:00,257.35
2024-01-05 10:00:00+00:00,209.12
2024-01-05 11:00:00+00:00,216.47
2024-01-05 12:00:00+00:00,207.48
2024-01-05 13:00:00+00:00,178.2
2024-01-05 14:00:00+00:00,108.83
2024-01-05 15:00:00+00:00,89.09
2024-01-05 16:00:00+00:00,60.81
2024-01-05 17:00:00+00:00,47.06
2024-01-05 18:00:00+00:00,39.73
2024-01-05 19:00:00+00:00,120.83
2024-01-05 20:00:00+00:00,145.27
2024-01-05 21:00:00+00:00,205.79
2024-01-05 22:00:00+00:00,243.73
2024-01-05 23:00:00+00:00,237.62
2024-01-06 00:00:00+00:00,265.91
2024-01-06 01:00:00+00:00,322.85
2024-01-06 02:00:00+00:00,301.27
2024-01-06 03:00:00+00:00,312.51
2024-01-06 04:00:00+00:00,354.07
2024-01-06 05:00:00+00:00,391.22
2024-01-06 06:00:00+00:00,420.87
2024-01-06 07:00:00+00:00,431.81
2024-01-06 08:00:00+00:00,426.33
2024-01-06 09:00:00+00:00,440.78
2024-01-06 10:00:00+00:00,431.98
2024-01-06 11:00:00+00:00,463.13
2024-01-06 12:00:00+00:00,471.25
2024-01-06 13:00:00+00:00,439.84
2024-01-06 14:00:00+00:00,420.7
2024-01-06 15:00:00+00:00,441.77
2024-01-06 16:00:00+00:00,415.84
2024-01-06 17:00:00+00:00,439.03
2024-01-06 18:00:00+00:00,480.89
2024-01-06 19:00:00+00:00,464.85
2024-01-06 20:00:00+00:00,491.42
2024-01-06 21:00:00+00:00,414.17
2024-01-06 22:00:00+00:00,438.77
2024-01-06 23:00:00+00:00,323.54
2024-01-07 00:00:00+00:00,311.61
2024-01-07 01:00:00+00:00,303.78
2024-01-07 02:00:00+00:00,153.03
2024-01-07 03:00:00+00:00,121.59
2024-01-07 04:00:00+00:00,196.64
2024-01-07 05:00:00+00:00,304.98
2024-01-07 06:00:00+00:00,476.87
2024-01-07 07:00:00+00:00,477.55
2024-01-07 08:00:00+00:00,414.61
2024-01-07 09:00:00+00:00,489.11
2024-01-07 10:00:00+00:00,454.06
2024-01-07 11:00:00+00:00,344.91
2024-01-07 12:00:00+00:00,335.04
2024-01-07 13:00:00+00:00,208.75
2024-01-07 14:00:00+00:00,167.7
2024-01-07 15:00:00+00:00,193.52
2024-01-07 16:00:00+00:00,222.88
2024-01-07 17:00:00+00:00,268.53
2024-01-07 18:00:00+00:00,136.98
2024-01-07 19:00:00+00:00,133.38
2024-01-07 20:00:00+00:00,221.21
2024-01-07 21:00:00+00:00,231.77
2024-01-07 22:00:00+00:00,191.82
2024-01-07 23:00:00+00:00,144.11
2024-01-08 00:00:00+00:00,198.48
2024-01-08 01:00:00+00:00,231.39
2024-01-08 02:00:00+00:00,296.41
2024-01-08 03:00:00+00:00,307.05
2024-01-08 04:00:00+00:00,338.17
2024-01-08 05:00:00+00:00,362.89
2024-01-08 06:00:00+00:00,413.29
2024-01-08 07:00:00+00:00,390.19
2024-01-08 08:00:00+00:00,341.78
2024-01-08 09:00:00+00:00,280.86
2024-01-08 10:00:00+00:00,202.85
2024-01-08 11:00:00+00:00,197.77
2024-01-08 12:00:00+00:00,210.13
2024-01-08 13:00:00+00:00,191.03
2024-01-08 14:00:00+00:00,188.99
2024-01-08 15:00:00+00:00,196.28
2024-01-08 16:00:00+00:00,211.01
2024-01-08 17:00:00+00:00,200.96
2024-01-08 18:00:00+00:00,202.13
2024-01-08 19:00:00+00:00,214.26
2024-01-08 20:00:00+00:00,220.7
2024-01-08 21:00:00+00:00,238.4
2024-01-08 22:00:00+00:00,240.73
2024-01-08 23:00:00+00:00,261.3
2024-01-09 00:00:00+00:00,272.37
2024-01-09 01:00:00+00:00,248.62
2024-01-09 02:00:00+00:00,259.54
2024-01-09 03:00:00+00:00,243.17
2024-01-09 04:00:00+00:00,220.93
2024-01-09 05:00:00+00:00,240.62
2024-01-09 06:00:00+00:00,237.6
2024-01-09 07:00:00+00:00,289.11
2024-01-09 08:00:00+00:00,331.53
2024-01-09 09:00:00+00:00,352.9
2024-01-09 10:00:00+00:00,370.18
2024-01-09 11:00:00+00:00,364.66
2024-01-09 12:00:00+00:00,353.99
2024-01-09 13:00:00+00:00,350.66
2024-01-09 14:00:00+00:00,355.88
2024-01-09 15:00:00+00:00,366.31
2024-01-09 16:00:00+00:00,383.3
