datetime_utc,Wind Onshore
2024-01-01 00:00:00+00:00,85.45
2024-01-01 01:00:00+00:00,86.26
2024-01-01 02:00:00+00:00,85.46
2024-01-01 03:00:00+00:00,86.04
2024-01-01 04:00:00+00:00,88.38
2024-01-01 05:00:00+00:00,96.8
2024-01-01 06:00:00+00:00,94.65
2024-01-01 07:00:00+00:00,98.02
2024-01-01 08:00:00+00:00,111.5
2024-01-01 09:00:00+00:00,121.63
2024-01-01 10:00:00+00:00,139.1
2024-01-01 11:00:00+00:00,147.56
2024-01-01 12:00:00+00:00,160.7
2024-01-01 13:00:00+00:00,164.72
2024-01-01 14:00:00+00:00,150.85
2024-01-01 15:00:00+00:00,133.8
2024-01-01 16:00:00+00:00,138.13
2024-01-01 17:00:00+00:00,123.96
2024-01-01 18:00:00+00:00,142.22
2024-01-01 19:00:00+00:00,147.16
2024-01-01 20:00:00+00:00,149.83
2024-01-01 21:00:00+00:00,139.41
2024-01-01 22:00:00+00:00,130.96
2024-01-01 23:00:00+00:00,111.6
2024-01-02 00:00:00+00:00,104.27
2024-01-02 01:00:00+00:00,76.47
2024-01-02 02:00:00+00:00,65.29
2024-01-02 03:00:00+00:00,71.93
2024-01-02 04:00:00+00:00,85.33
2024-01-02 05:00:00+00:00,94.15
2024-01-02 06:00:00+00:00,109.32
2024-01-02 07:00:00+00:00,124.82
2024-01-02 08:00:00+00:00,145.23
2024-01-02 09:00:00+00:00,151.71
2024-01-02 10:00:00+00:00,171.29
2024-01-02 11:00:00+00:00,195.66
2024-01-02 12:00:00+00:00,208.75
2024-01-02 13:00:00+00:00,205.4
2024-01-02 14:00:00+00:00,212.77
2024-01-02 15:00:00+00:00,198.59
2024-01-02 16:00:00+00:00,190.46
2024-01-02 17:00:00+00:00,179.22
2024-01-02 18:00:00+00:00,177.28
2024-01-02 19:00:00+00:00,191.47
2024-01-02 20:00:00+00:00,203.3
2024-01-02 21:00:00+00:00,213.54
2024-01-02 22:00:00+00:00,235.63
2024-01-02 23:00:00+00:00,247.61
2024-01-03 00:00:00+00:00,248.14
2024-01-03 01:00:00+00:00,247.34
2024-01-03 02:00:00+00:00,253.1
2024-01-03 03:00:00+00:00,254.16
2024-01-03 04:00:00+00:00,249.49
2024-01-03 05:00:00+00:00,243.74
2024-01-03 06:00:00+00:00,244.32
2024-01-03 07:00:00+00:00,251.29
2024-01-03 08:00:00+00:00,242.75
2024-01-03 09:00:00+00:00,239.05
2024-01-03 10:00:00+00:00,228.93
2024-01-03 11:00:00+00:00,226.63
2024-01-03 12:00:00+00:00,238.46
2024-01-03 13:00:00+00:00,233.44
2024-01-03 14:00:00+00:00,233.95
2024-01-03 15:00:00+00:00,240.55
2024-01-03 16:00:00+00:00,227.38
2024-01-03 17:00:00+00:00,242.77
2024-01-03 18:00:00+00:00,230.7
2024-01-03 19:00:00+00:00,209.45
2024-01-03 20:00:00+00:00,199.16
2024-01-03 21:00:00+00:00,201.02
2024-01-03 22:00:00+00:00,222.98
2024-01-03 23:00:00+00:00,228.37
2024-01-04 00:00:00+00:00,226.2
2024-01-04 01:00:00+00:00,227.4
2024-01-04 02:00:00+00:00,236.61
2024-01-04 03:00:00+00:00,250.2
2024-01-04 04:00:00+00:00,256.15
2024-01-04 05:00:00+00:00,243.44
2024-01-04 06:00:00+00:00,232.62
2024-01-04 07:00:00+00:00,239.44
2024-01-04 08:00:00+00:00,243.14
2024-01-04 09:00:00+00:00,247.54
2024-01-04 10:00:00+00:00,255.2
2024-01-04 11:00:00+00:00,249.45
2024-01-04 12:00:00+00:00,242.46
2024-01-04 13:00:00+00:00,241.08
2024-01-04 14:00:00+00:00,245.59
2024-01-04 15:00:00+00:00,245.22
2024-01-04 16:00:00+00:00,232.74
2024-01-04 17:00:00+00:00,210.03
2024-01-04 18:00:00+00:00,178.47
2024-01-04 19:00:00+00:00,139.57
2024-01-04 20:00:00+00:00,122.97
2024-01-04 21:00:00+00:00,119.81
2024-01-04 22:00:00+00:00,96.75
2024-01-04 23:00:00+00:00,74.84
2024-01-05 00:00:00+00:00,60.57
2024-01-05 01:00:00+00:00,47.63
2024-01-05 02:00:00+00:00,39.56
2024-01-05 03:00:00+00:00,34.92
2024-01-05 04:00:00+00:00,43.76
2024-01-05 05:00:00+00:00,38.71
2024-01-05 06:00:00+00:00,45.52
2024-01-05 07:00:00+00:00,60.94
2024-01-05 08:00:00+00:00,89.73
2024-01-05 09:00:00+00:00,75.54
2024-01-05 10:00:00+00:00,82.73
2024-01-05 11:00:00+00:00,93.79
2024-01-05 12:00:00+00:00,77.14
2024-01-05 13:00:00+00:00,73.61
2024-01-05 14:00:00+00:00,75.64
2024-01-05 15:00:00+00:00,74.8
2024-01-05 16:00:00+00:00,72.52
2024-01-05 17:00:00+00:00,78.73
2024-01-05 18:00:00+00:00,79.38
2024-01-05 19:00:00+00:00,82.1
2024-01-05 20:00:00+00:00,62.67
2024-01-05 21:00:00+00:00,60.18
2024-01-05 22:00:00+00:00,54.62
