datetime_utc,Solar
2024-01-01 00:00:00+00:00,2.9625
2024-01-01 01:00:00+00:00,2.9325
2024-01-01 02:00:00+00:00,3.1825
2024-01-01 03:00:00+00:00,2.7675
2024-01-01 04:00:00+00:00,3.0625
2024-01-01 05:00:00+00:00,3.1925
2024-01-01 06:00:00+00:00,4.075
2024-01-01 07:00:00+00:00,425.2325
2024-01-01 08:00:00+00:00,3217.5025
2024-01-01 09:00:00+00:00,6342.445
2024-01-01 10:00:00+00:00,8136.24
2024-01-01 11:00:00+00:00,7771.6825
2024-01-01 12:00:00+00:00,6365.9275
2024-01-01 13:00:00+00:00,4199.452499999999
2024-01-01 14:00:00+00:00,1422.2424999999998
2024-01-01 15:00:00+00:00,83.42
2024-01-01 16:00:00+00:00,5.87
2024-01-01 17:00:00+00:00,5.3575
2024-01-01 18:00:00+00:00,4.355
2024-01-01 19:00:00+00:00,3.06
2024-01-01 20:00:00+00:00,2.975
2024-01-01 21:00:00+00:00,2.6125
2024-01-01 22:00:00+00:00,3.035
2024-01-01 23:00:00+00:00,3.08
2024-01-02 00:00:00+00:00,2.5775
2024-01-02 01:00:00+00:00,3.0325
2024-01-02 02:00:00+00:00,3.1625
2024-01-02 03:00:00+00:00,2.69
2024-01-02 04:00:00+00:00,2.955
2024-01-02 05:00:00+00:00,3.235
2024-01-02 06:00:00+00:00,2.7625
2024-01-02 07:00:00+00:00,50.760000000000005
2024-01-02 08:00:00+00:00,537.8975
2024-01-02 09:00:00+00:00,1390.015
2024-01-02 10:00:00+00:00,2153.3325
2024-01-02 11:00:00+00:00,2625.36
2024-01-02 12:00:00+00:00,2306.9975
2024-01-02 13:00:00+00:00,1232.625
2024-01-02 14:00:00+00:00,343.5575
2024-01-02 15:00:00+00:00,12.5775
2024-01-02 16:00:00+00:00,3.9125
2024-01-02 17:00:00+00:00,3.815
2024-01-02 18:00:00+00:00,2.96
2024-01-02 19:00:00+00:00,2.76
2024-01-02 20:00:00+00:00,2.9625
2024-01-02 21:00:00+00:00,3.2575000000000003
2024-01-02 22:00:00+00:00,2.7775
2024-01-02 23:00:00+00:00,2.93
2024-01-03 00:00:00+00:00,2.845
2024-01-03 01:00:00+00:00,2.9175
2024-01-03 02:00:00+00:00,2.8
2024-01-03 03:00:00+00:00,2.9025
2024-01-03 04:00:00+00:00,2.71
2024-01-03 05:00:00+00:00,3.21
2024-01-03 06:00:00+00:00,2.9175
2024-01-03 07:00:00+00:00,314.6025
2024-01-03 08:00:00+00:00,2371.735
2024-01-03 09:00:00+00:00,5093.1575
2024-01-03 10:00:00+00:00,6068.905000000001
2024-01-03 11:00:00+00:00,6408.685
2024-01-03 12:00:00+00:00,6128.4925
2024-01-03 13:00:00+00:00,4155.8275
2024-01-03 14:00:00+00:00,1577.42
2024-01-03 15:00:00+00:00,93.985
2024-01-03 16:00:00+00:00,6.35
2024-01-03 17:00:00+00:00,4.4875
2024-01-03 18:00:00+00:00,4.0225
2024-01-03 19:00:00+00:00,3.2875
2024-01-03 20:00:00+00:00,2.68
2024-01-03 21:00:00+00:00,2.885
2024-01-03 22:00:00+00:00,2.99
2024-01-03 23:00:00+00:00,2.89
2024-01-04 00:00:00+00:00,2.6825
2024-01-04 01:00:00+00:00,2.9
2024-01-04 02:00:00+00:00,2.795
2024-01-04 03:00:00+00:00,2.855
2024-01-04 04:00:00+00:00,2.81
2024-01-04 05:00:00+00:00,3.305
2024-01-04 06:00:00+00:00,2.83
2024-01-04 07:00:00+00:00,165.805
2024-01-04 08:00:00+00:00,1591.29
2024-01-04 09:00:00+00:00,3595.9875
2024-01-04 10:00:00+00:00,5056.6
2024-01-04 11:00:00+00:00,5538.125
2024-01-04 12:00:00+00:00,5060.155
2024-01-04 13:00:00+00:00,3657.4675
2024-01-04 14:00:00+00:00,1536.66
2024-01-04 15:00:00+00:00,95.645
2024-01-04 16:00:00+00:00,7.5225
2024-01-04 17:00:00+00:00,11.2775
2024-01-04 18:00:00+00:00,3.9825
2024-01-04 19:00:00+00:00,2.925
2024-01-04 20:00:00+00:00,2.9025
2024-01-04 21:00:00+00:00,2.6975
2024-01-04 22:00:00+00:00,2.9275
2024-01-04 23:00:00+00:00,3.0125
2024-01-05 00:00:00+00:00,2.89
2024-01-05 01:00:00+00:00,2.8225
2024-01-05 02:00:00+00:00,2.77
2024-01-05 03:00:00+00:00,2.83
2024-01-05 04:00:00+00:00,2.9675
2024-01-05 05:00:00+00:00,2.825
2024-01-05 06:00:00+00:00,3.095
2024-01-05 07:00:00+00:00,188.7575
2024-01-05 08:00:00+00:00,1696.625
2024-01-05 09:00:00+00:00,4069.3775
2024-01-05 10:00:00+00:00,5644.0825
2024-01-05 11:00:00+00:00,5630.79
2024-01-05 12:00:00+00:00,4351.6175
2024-01-05 13:00:00+00:00,2795.54
2024-01-05 14:00:00+00:00,1106.27
2024-01-05 15:00:00+00:00,85.04
2024-01-05 16:00:00+00:00,4.515000000000001
2024-01-05 17:00:00+00:00,5.5025
2024-01-05 18:00:00+00:00,4.575
2024-01-05 19:00:00+00:00,3.5575
2024-01-05 20:00:00+00:00,2.8175
2024-01-05 21:00:00+00:00,3.6475
2024-01-05 22:00:00+00:00,3.0325
2024-01-05 23:00:00+00:00,2.9625
2024-01-06 00:00:00+00:00,2.775
2024-01-06 01:00:00+00:00,2.7425
2024-01-06 02:00:00+00:00,2.6675
2024-01-06 03:00:00+00:00,2.855
2024-01-06 04:00:00+00:00,2.745
2024-01-06 05:00:00+00:00,3.0025
2024-01-06 06:00:00+00:00,3.36
2024-01-06 07:00:00+00:00,109.53
2024-01-06 08:00:00+00:00,1040.1525
2024-01-06 09:00:00+00:00,2147.345
2024-01-06 10:00:00+00:00,2764.73
2024-01-06 11:00:00+00:00,2880.49
2024-01-06 12:00:00+00:00,2332.14
2024-01-06 13:00:00+00:00,1417.98
2024-01-06 14:00:00+00:00,477.33
2024-01-06 15:00:00+00:00,22.475
2024-01-06 16:00:00+00:00,3.815
2024-01-06 17:00:00+00:00,4.1425
2024-01-06 18:00:00+00:00,3.915
2024-01-06 19:00:00+00:00,3.7525
2024-01-06 20:00:00+00:00,2.8575
2024-01-06 21:00:00+00:00,2.7425
2024-01-06 22:00:00+00:00,2.7425
2024-01-06 23:00:00+00:00,2.575
2024-01-07 00:00:00+00:00,2.7375
2024-01-07 01:00:00+00:00,2.94
2024-01-07 02:00:00+00:00,2.59
2024-01-07 03:00:00+00:00,2.6725
2024-01-07 04:00:00+00:00,2.6475
2024-01-07 05:00:00+00:00,2.625
2024-01-07 06:00:00+00:00,3.7875
2024-01-07 07:00:00+00:00,111.1125
2024-01-07 08:00:00+00:00,945.905
2024-01-07 09:00:00+00:00,2126.5975
2024-01-07 10:00:00+00:00,3362.05
2024-01-07 11:00:00+00:00,3792.3475
2024-01-07 12:00:00+00:00,3162.7425000000003
2024-01-07 13:00:00+00:00,2014.9775
2024-01-07 14:00:00+00:00,730.1949999999999
2024-01-07 15:00:00+00:00,41.285
2024-01-07 16:00:00+00:00,3.29
2024-01-07 17:00:00+00:00,3.0225
2024-01-07 18:00:00+00:00,2.8675
2024-01-07 19:00:00+00:00,2.87
2024-01-07 20:00:00+00:00,3.485
2024-01-07 21:00:00+00:00,2.585
2024-01-07 22:00:00+00:00,3.0425
2024-01-07 23:00:00+00:00,2.715
2024-01-08 00:00:00+00:00,2.6825
2024-01-08 01:00:00+00:00,2.715
2024-01-08 02:00:00+00:00,2.69
2024-01-08 03:00:00+00:00,2.75
2024-01-08 04:00:00+00:00,3.1750000000000003
2024-01-08 05:00:00+00:00,2.9275
2024-01-08 06:00:00+00:00,3.2125
2024-01-08 07:00:00+00:00,176.795
2024-01-08 08:00:00+00:00,1791.975
2024-01-08 09:00:00+00:00,4477.5775
2024-01-08 10:00:00+00:00,7502.455
2024-01-08 11:00:00+00:00,9389.77
2024-01-08 12:00:00+00:00,9026.3625
2024-01-08 13:00:00+00:00,6239.3425
2024-01-08 14:00:00+00:00,2335.1825
2024-01-08 15:00:00+00:00,138.1
2024-01-08 16:00:00+00:00,5.0375
2024-01-08 17:00:00+00:00,5.98
2024-01-08 18:00:00+00:00,3.3625
2024-01-08 19:00:00+00:00,3.1425
2024-01-08 20:00:00+00:00,2.915
2024-01-08 21:00:00+00:00,2.9450000000000003
2024-01-08 22:00:00+00:00,3.1575
2024-01-08 23:00:00+00:00,2.9475
2024-01-09 00:00:00+00:00,3.085
2024-01-09 01:00:00+00:00,2.7475
2024-01-09 02:00:00+00:00,2.8275
2024-01-09 03:00:00+00:00,2.8875
2024-01-09 04:00:00+00:00,3.04
2024-01-09 05:00:00+00:00,3.75
2024-01-09 06:00:00+00:00,4.0425
2024-01-09 07:00:00+00:00,516.725
2024-01-09 08:00:00+00:00,4474.98
2024-01-09 09:00:00+00:00,10193.9175
2024-01-09 10:00:00+00:00,14679.82
2024-01-09 11:00:00+00:00,16317.15
2024-01-09 12:00:00+00:00,14882.1225
2024-01-09 13:00:00+00:00,10240.3725
2024-01-09 14:00:00+00:00,3991.68
2024-01-09 15:00:00+00:00,243.49
2024-01-09 16:00:00+00:00,3.8025
2024-01-09 17:00:00+00:00,3.3625
2024-01-09 18:00:00+00:00,3.125
2024-01-09 19:00:00+00:00,3.4575
2024-01-09 20:00:00+00:00,2.91
2024-01-09 21:00:00+00:00,2.9775
2024-01-09 22:00:00+00:00,3.0125
2024-01-09 23:00:00+00:00,3.13
2024-01-10 00:00:00+00:00,3.3325
2024-01-10 01:00:00+00:00,2.895
2024-01-10 02:00:00+00:00,2.9325
2024-01-10 03:00:00+00:00,2.87
2024-01-10 04:00:00+00:00,3.1075
2024-01-10 05:00:00+00:00,3.0325
2024-01-10 06:00:00+00:00,3.71
2024-01-10 07:00:00+00:00,490.385
2024-01-10 08:00:00+00:00,4107.3675
2024-01-10 09:00:00+00:00,9443.42
2024-01-10 10:00:00+00:00,13666.23
2024-01-10 11:00:00+00:00,15282.8975
2024-01-10 12:00:00+00:00,13872.885
2024-01-10 13:00:00+00:00,9585.9225
2024-01-10 14:00:00+00:00,3817.8475
2024-01-10 15:00:00+00:00,293.4225
2024-01-10 16:00:00+00:00,4.9075
2024-01-10 17:00:00+00:00,3.2475
2024-01-10 18:00:00+00:00,3.4075
2024-01-10 19:00:00+00:00,4.43
2024-01-10 20:00:00+00:00,3.265
2024-01-10 21:00:00+00:00,3.0275
2024-01-10 22:00:00+00:00,2.915
2024-01-10 23:00:00+00:00,2.9425
2024-01-11 00:00:00+00:00,2.9000000000000004
2024-01-11 01:00:00+00:00,2.92
2024-01-11 02:00:00+00:00,2.76
2024-01-11 03:00:00+00:00,2.6825
2024-01-11 04:00:00+00:00,2.8125
2024-01-11 05:00:00+00:00,2.76
2024-01-11 06:00:00+00:00,3.4325
2024-01-11 07:00:00+00:00,544.3725
2024-01-11 08:00:00+00:00,4210.2425
2024-01-11 09:00:00+00:00,9326.2125
2024-01-11 10:00:00+00:00,12970.5075
2024-01-11 11:00:00+00:00,13759.5775
2024-01-11 12:00:00+00:00,12115.44
2024-01-11 13:00:00+00:00,8367.2525
2024-01-11 14:00:00+00:00,3525.9725
2024-01-11 15:00:00+00:00,327.275
2024-01-11 16:00:00+00:00,8.675
2024-01-11 17:00:00+00:00,4.0975
2024-01-11 18:00:00+00:00,3.3325
2024-01-11 19:00:00+00:00,3.8175
2024-01-11 20:00:00+00:00,3.6575
2024-01-11 21:00:00+00:00,3.305
2024-01-11 22:00:00+00:00,2.865
2024-01-11 23:00:00+00:00,2.9575
2024-01-12 00:00:00+00:00,2.955
2024-01-12 01:00:00+00:00,3.07
2024-01-12 02:00:00+00:00,3.24
2024-01-12 03:00:00+00:00,2.835
2024-01-12 04:00:00+00:00,3.1275
2024-01-12 05:00:00+00:00,2.925
2024-01-12 06:00:00+00:00,4.234999999999999
2024-01-12 07:00:00+00:00,217.0775
2024-01-12 08:00:00+00:00,1405.2675
2024-01-12 09:00:00+00:00,2832.1975
2024-01-12 10:00:00+00:00,3988.9775
2024-01-12 11:00:00+00:00,4455.56
2024-01-12 12:00:00+00:00,4017.52
2024-01-12 13:00:00+00:00,2774.185
2024-01-12 14:00:00+00:00,1155.8825
2024-01-12 15:00:00+00:00,113.24
2024-01-12 16:00:00+00:00,5.27
2024-01-12 17:00:00+00:00,4.115
2024-01-12 18:00:00+00:00,4.0
2024-01-12 19:00:00+00:00,3.075
2024-01-12 20:00:00+00:00,2.7525
2024-01-12 21:00:00+00:00,3.175
2024-01-12 22:00:00+00:00,3.1925
2024-01-12 23:00:00+00:00,3.045
2024-01-13 00:00:00+00:00,3.0175
2024-01-13 01:00:00+00:00,3.25
2024-01-13 02:00:00+00:00,3.125
2024-01-13 03:00:00+00:00,2.875
2024-01-13 04:00:00+00:00,3.12
2024-01-13 05:00:00+00:00,2.9475
2024-01-13 06:00:00+00:00,3.345
2024-01-13 07:00:00+00:00,85.2775
2024-01-13 08:00:00+00:00,772.025
2024-01-13 09:00:00+00:00,1799.075
2024-01-13 10:00:00+00:00,2479.7525
2024-01-13 11:00:00+00:00,2786.9875
2024-01-13 12:00:00+00:00,2589.9725
2024-01-13 13:00:00+00:00,1861.7775
2024-01-13 14:00:00+00:00,800.21
2024-01-13 15:00:00+00:00,74.345
2024-01-13 16:00:00+00:00,3.6225
2024-01-13 17:00:00+00:00,3.445
2024-01-13 18:00:00+00:00,3.1275
2024-01-13 19:00:00+00:00,3.175
2024-01-13 20:00:00+00:00,3.02
2024-01-13 21:00:00+00:00,2.9825
2024-01-13 22:00:00+00:00,3.13
2024-01-13 23:00:00+00:00,2.9775
2024-01-14 00:00:00+00:00,2.9175
2024-01-14 01:00:00+00:00,3.445
2024-01-14 02:00:00+00:00,3.2725
2024-01-14 03:00:00+00:00,2.9975
2024-01-14 04:00:00+00:00,2.8275
2024-01-14 05:00:00+00:00,2.71
2024-01-14 06:00:00+00:00,3.345
2024-01-14 07:00:00+00:00,263.66
2024-01-14 08:00:00+00:00,1887.8475
2024-01-14 09:00:00+00:00,4006.51
2024-01-14 10:00:00+00:00,6135.045
2024-01-14 11:00:00+00:00,7173.865
2024-01-14 12:00:00+00:00,6742.8225
2024-01-14 13:00:00+00:00,5239.9625
2024-01-14 14:00:00+00:00,2659.315
2024-01-14 15:00:00+00:00,377.8975
2024-01-14 16:00:00+00:00,4.05
2024-01-14 17:00:00+00:00,3.675
2024-01-14 18:00:00+00:00,3.215
2024-01-14 19:00:00+00:00,2.975
2024-01-14 20:00:00+00:00,3.0725
2024-01-14 21:00:00+00:00,3.0425
2024-01-14 22:00:00+00:00,3.04
2024-01-14 23:00:00+00:00,3.335
2024-01-15 00:00:00+00:00,3.1775
2024-01-15 01:00:00+00:00,3.3475
2024-01-15 02:00:00+00:00,2.96
2024-01-15 03:00:00+00:00,3.16
2024-01-15 04:00:00+00:00,3.2825
2024-01-15 05:00:00+00:00,4.4875
2024-01-15 06:00:00+00:00,4.0375
2024-01-15 07:00:00+00:00,164.79250000000002
2024-01-15 08:00:00+00:00,1363.3525
2024-01-15 09:00:00+00:00,3207.505
2024-01-15 10:00:00+00:00,4731.085
2024-01-15 11:00:00+00:00,5096.225
2024-01-15 12:00:00+00:00,4259.555
2024-01-15 13:00:00+00:00,2620.6725
2024-01-15 14:00:00+00:00,1039.1375
2024-01-15 15:00:00+00:00,116.1425
2024-01-15 16:00:00+00:00,3.6325
2024-01-15 17:00:00+00:00,3.2175
2024-01-15 18:00:00+00:00,3.025
2024-01-15 19:00:00+00:00,3.2675
2024-01-15 20:00:00+00:00,3.0475
2024-01-15 21:00:00+00:00,3.3625
2024-01-15 22:00:00+00:00,2.945
2024-01-15 23:00:00+00:00,2.7875
2024-01-16 00:00:00+00:00,3.245
2024-01-16 01:00:00+00:00,3.14
2024-01-16 02:00:00+00:00,3.2375
2024-01-16 03:00:00+00:00,2.94
2024-01-16 04:00:00+00:00,3.3475
2024-01-16 05:00:00+00:00,3.0425
2024-01-16 06:00:00+00:00,3.535
2024-01-16 07:00:00+00:00,234.6425
2024-01-16 08:00:00+00:00,1663.0125
2024-01-16 09:00:00+00:00,3553.4125
2024-01-16 10:00:00+00:00,5263.4925
2024-01-16 11:00:00+00:00,6743.6025
2024-01-16 12:00:00+00:00,7246.085
2024-01-16 13:00:00+00:00,5645.5275
2024-01-16 14:00:00+00:00,2927.1125
2024-01-16 15:00:00+00:00,423.4975
2024-01-16 16:00:00+00:00,5.085
2024-01-16 17:00:00+00:00,4.515
2024-01-16 18:00:00+00:00,3.1225
2024-01-16 19:00:00+00:00,2.9575
2024-01-16 20:00:00+00:00,3.0625
2024-01-16 21:00:00+00:00,2.825
2024-01-16 22:00:00+00:00,3.24
2024-01-16 23:00:00+00:00,3.1525
2024-01-17 00:00:00+00:00,3.145
2024-01-17 01:00:00+00:00,3.05
2024-01-17 02:00:00+00:00,2.855
2024-01-17 03:00:00+00:00,3.05
2024-01-17 04:00:00+00:00,3.1875
2024-01-17 05:00:00+00:00,3.2925
2024-01-17 06:00:00+00:00,3.755
2024-01-17 07:00:00+00:00,164.3925
2024-01-17 08:00:00+00:00,1277.1225
2024-01-17 09:00:00+00:00,2470.17
2024-01-17 10:00:00+00:00,2889.545
2024-01-17 11:00:00+00:00,2721.935
2024-01-17 12:00:00+00:00,2288.955
2024-01-17 13:00:00+00:00,1679.955
2024-01-17 14:00:00+00:00,821.945
2024-01-17 15:00:00+00:00,106.8925
2024-01-17 16:00:00+00:00,5.4
2024-01-17 17:00:00+00:00,3.2225
2024-01-17 18:00:00+00:00,3.17
2024-01-17 19:00:00+00:00,3.07
2024-01-17 20:00:00+00:00,2.91
2024-01-17 21:00:00+00:00,2.955
2024-01-17 22:00:00+00:00,3.2
2024-01-17 23:00:00+00:00,3.02
2024-01-18 00:00:00+00:00,3.21
2024-01-18 01:00:00+00:00,2.95
2024-01-18 02:00:00+00:00,2.765
