datetime_utc,Solar
2024-01-01 00:00:00+00:00,1.18
2024-01-01 01:00:00+00:00,1.18
2024-01-01 02:00:00+00:00,1.18
2024-01-01 03:00:00+00:00,1.18
2024-01-01 04:00:00+00:00,1.18
2024-01-01 05:00:00+00:00,1.18
2024-01-01 06:00:00+00:00,1.0
2024-01-01 07:00:00+00:00,0.12
2024-01-01 08:00:00+00:00,17.3
2024-01-01 09:00:00+00:00,57.71
2024-01-01 10:00:00+00:00,83.91
2024-01-01 11:00:00+00:00,106.34
2024-01-01 12:00:00+00:00,96.52
2024-01-01 13:00:00+00:00,49.06
2024-01-01 14:00:00+00:00,9.47
2024-01-01 15:00:00+00:00,1.24
2024-01-01 16:00:00+00:00,1.26
2024-01-01 17:00:00+00:00,1.26
2024-01-01 18:00:00+00:00,1.26
2024-01-01 19:00:00+00:00,1.26
2024-01-01 20:00:00+00:00,1.26
2024-01-01 21:00:00+00:00,0.42
2024-01-01 22:00:00+00:00,0.0
2024-01-01 23:00:00+00:00,0.48
2024-01-02 00:00:00+00:00,0.92
2024-01-02 01:00:00+00:00,1.0
2024-01-02 02:00:00+00:00,1.01
2024-01-02 03:00:00+00:00,1.08
2024-01-02 04:00:00+00:00,0.67
2024-01-02 05:00:00+00:00,0.0
2024-01-02 06:00:00+00:00,0.0
2024-01-02 07:00:00+00:00,0.17
2024-01-02 08:00:00+00:00,21.74
2024-01-02 09:00:00+00:00,76.01
2024-01-02 10:00:00+00:00,112.43
2024-01-02 11:00:00+00:00,132.26
2024-01-02 12:00:00+00:00,95.54
2024-01-02 13:00:00+00:00,44.81
2024-01-02 14:00:00+00:00,8.91
2024-01-02 15:00:00+00:00,1.06
2024-01-02 16:00:00+00:00,0.98
2024-01-02 17:00:00+00:00,0.4
2024-01-02 18:00:00+00:00,0.16
2024-01-02 19:00:00+00:00,0.3
2024-01-02 20:00:00+00:00,0.3
2024-01-02 21:00:00+00:00,0.0
2024-01-02 22:00:00+00:00,0.32
2024-01-02 23:00:00+00:00,1.03
2024-01-03 00:00:00+00:00,1.19
2024-01-03 01:00:00+00:00,1.18
2024-01-03 02:00:00+00:00,1.19
2024-01-03 03:00:00+00:00,1.16
2024-01-03 04:00:00+00:00,0.28
2024-01-03 05:00:00+00:00,0.0
2024-01-03 06:00:00+00:00,0.0
2024-01-03 07:00:00+00:00,0.0
2024-01-03 08:00:00+00:00,17.24
2024-01-03 09:00:00+00:00,70.29
2024-01-03 10:00:00+00:00,110.43
2024-01-03 11:00:00+00:00,124.77
2024-01-03 12:00:00+00:00,91.21
2024-01-03 13:00:00+00:00,49.23
2024-01-03 14:00:00+00:00,14.88
2024-01-03 15:00:00+00:00,0.0
2024-01-03 16:00:00+00:00,0.0
2024-01-03 17:00:00+00:00,0.0
2024-01-03 18:00:00+00:00,0.0
2024-01-03 19:00:00+00:00,0.0
2024-01-03 20:00:00+00:00,0.0
2024-01-03 21:00:00+00:00,0.0
2024-01-03 22:00:00+00:00,0.0
2024-01-03 23:00:00+00:00,0.0
2024-01-04 00:00:00+00:00,0.0
2024-01-04 01:00:00+00:00,0.0
2024-01-04 02:00:00+00:00,0.0
2024-01-04 03:00:00+00:00,0.2
2024-01-04 04:00:00+00:00,0.44
2024-01-04 05:00:00+00:00,0.1
2024-01-04 06:00:00+00:00,0.43
2024-01-04 07:00:00+00:00,1.14
2024-01-04 08:00:00+00:00,24.68
2024-01-04 09:00:00+00:00,85.16
2024-01-04 10:00:00+00:00,129.46
2024-01-04 11:00:00+00:00,164.45
2024-01-04 12:00:00+00:00,161.31
2024-01-04 13:00:00+00:00,121.07
2024-01-04 14:00:00+00:00,41.05
2024-01-04 15:00:00+00:00,1.61
2024-01-04 16:00:00+00:00,0.89
2024-01-04 17:00:00+00:00,0.04
2024-01-04 18:00:00+00:00,0.57
2024-01-04 19:00:00+00:00,0.0
2024-01-04 20:00:00+00:00,0.0
2024-01-04 21:00:00+00:00,0.0
2024-01-04 22:00:00+00:00,0.0
2024-01-04 23:00:00+00:00,0.0
2024-01-05 00:00:00+00:00,0.0
2024-01-05 01:00:00+00:00,0.0
2024-01-05 02:00:00+00:00,0.0
2024-01-05 03:00:00+00:00,0.0
2024-01-05 04:00:00+00:00,0.0
2024-01-05 05:00:00+00:00,0.18
2024-01-05 06:00:00+00:00,1.21
2024-01-05 07:00:00+00:00,1.4
2024-01-05 08:00:00+00:00,34.02
2024-01-05 09:00:00+00:00,119.89
2024-01-05 10:00:00+00:00,204.1
2024-01-05 11:00:00+00:00,207.35
2024-01-05 12:00:00+00:00,174.59
2024-01-05 13:00:00+00:00,112.13
2024-01-05 14:00:00+00:00,38.16
2024-01-05 15:00:00+00:00,0.56
2024-01-05 16:00:00+00:00,0.0
2024-01-05 17:00:00+00:00,0.32
2024-01-05 18:00:00+00:00,0.32
2024-01-05 19:00:00+00:00,1.12
2024-01-05 20:00:00+00:00,1.23
2024-01-05 21:00:00+00:00,1.23
2024-01-05 22:00:00+00:00,1.23
2024-01-05 23:00:00+00:00,1.23
2024-01-06 00:00:00+00:00,1.23
2024-01-06 01:00:00+00:00,1.23
2024-01-06 02:00:00+00:00,1.23
2024-01-06 03:00:00+00:00,1.23
2024-01-06 04:00:00+00:00,1.23
2024-01-06 05:00:00+00:00,1.23
2024-01-06 06:00:00+00:00,1.24
2024-01-06 07:00:00+00:00,1.5
2024-01-06 08:00:00+00:00,33.81
2024-01-06 09:00:00+00:00,142.18
2024-01-06 10:00:00+00:00,273.96
2024-01-06 11:00:00+00:00,354.11
2024-01-06 12:00:00+00:00,340.57
2024-01-06 13:00:00+00:00,205.73
2024-01-06 14:00:00+00:00,45.51
2024-01-06 15:00:00+00:00,2.2
2024-01-06 16:00:00+00:00,1.33
2024-01-06 17:00:00+00:00,1.25
2024-01-06 18:00:00+00:00,1.24
2024-01-06 19:00:00+00:00,1.23
2024-01-06 20:00:00+00:00,1.23
2024-01-06 21:00:00+00:00,1.23
2024-01-06 22:00:00+00:00,1.23
2024-01-06 23:00:00+00:00,1.23
2024-01-07 00:00:00+00:00,1.23
2024-01-07 01:00:00+00:00,1.22
2024-01-07 02:00:00+00:00,1.22
2024-01-07 03:00:00+00:00,1.22
2024-01-07 04:00:00+00:00,1.21
2024-01-07 05:00:00+00:00,1.21
2024-01-07 06:00:00+00:00,1.21
2024-01-07 07:00:00+00:00,2.35
2024-01-07 08:00:00+00:00,72.8
2024-01-07 09:00:00+00:00,256.86
2024-01-07 10:00:00+00:00,421.75
2024-01-07 11:00:00+00:00,440.82
2024-01-07 12:00:00+00:00,394.55
2024-01-07 13:00:00+00:00,210.02
2024-01-07 14:00:00+00:00,52.4
2024-01-07 15:00:00+00:00,2.04
2024-01-07 16:00:00+00:00,1.24
2024-01-07 17:00:00+00:00,1.26
