datetime_utc,Solar
2024-01-01 00:00:00+00:00,28.0
2024-01-01 01:00:00+00:00,28.0
2024-01-01 02:00:00+00:00,28.0
2024-01-01 03:00:00+00:00,28.0
2024-01-01 04:00:00+00:00,28.0
2024-01-01 05:00:00+00:00,28.0
2024-01-01 06:00:00+00:00,28.0
2024-01-01 07:00:00+00:00,34.0
2024-01-01 08:00:00+00:00,657.0
2024-01-01 09:00:00+00:00,3458.0
2024-01-01 10:00:00+00:00,6917.0
2024-01-01 11:00:00+00:00,8880.0
2024-01-01 12:00:00+00:00,9761.0
2024-01-01 13:00:00+00:00,10342.0
2024-01-01 14:00:00+00:00,10887.0
2024-01-01 15:00:00+00:00,8508.0
2024-01-01 16:00:00+00:00,3519.0
2024-01-01 17:00:00+00:00,418.0
2024-01-01 18:00:00+00:00,120.0
2024-01-01 19:00:00+00:00,87.0
2024-01-01 20:00:00+00:00,68.0
2024-01-01 21:00:00+00:00,60.0
2024-01-01 22:00:00+00:00,59.0
2024-01-01 23:00:00+00:00,60.0
2024-01-02 00:00:00+00:00,59.0
2024-01-02 01:00:00+00:00,28.0
2024-01-02 02:00:00+00:00,28.0
2024-01-02 03:00:00+00:00,28.0
2024-01-02 04:00:00+00:00,28.0
2024-01-02 05:00:00+00:00,28.0
2024-01-02 06:00:00+00:00,28.0
2024-01-02 07:00:00+00:00,56.0
2024-01-02 08:00:00+00:00,1255.0
2024-01-02 09:00:00+00:00,4772.0
2024-01-02 10:00:00+00:00,6690.0
2024-01-02 11:00:00+00:00,7287.0
2024-01-02 12:00:00+00:00,7189.0
2024-01-02 13:00:00+00:00,6925.0
2024-01-02 14:00:00+00:00,6872.0
2024-01-02 15:00:00+00:00,4970.0
2024-01-02 16:00:00+00:00,2010.0
2024-01-02 17:00:00+00:00,241.0
2024-01-02 18:00:00+00:00,72.0
2024-01-02 19:00:00+00:00,52.0
2024-01-02 20:00:00+00:00,28.0
2024-01-02 21:00:00+00:00,9.0
2024-01-02 22:00:00+00:00,8.0
2024-01-02 23:00:00+00:00,8.0
2024-01-03 00:00:00+00:00,8.0
2024-01-03 01:00:00+00:00,8.0
2024-01-03 02:00:00+00:00,8.0
2024-01-03 03:00:00+00:00,8.0
2024-01-03 04:00:00+00:00,8.0
2024-01-03 05:00:00+00:00,7.0
2024-01-03 06:00:00+00:00,4.0
2024-01-03 07:00:00+00:00,19.0
2024-01-03 08:00:00+00:00,762.0
2024-01-03 09:00:00+00:00,2820.0
2024-01-03 10:00:00+00:00,4579.0
2024-01-03 11:00:00+00:00,5697.0
2024-01-03 12:00:00+00:00,6185.0
2024-01-03 13:00:00+00:00,5409.0
2024-01-03 14:00:00+00:00,4628.0
2024-01-03 15:00:00+00:00,3051.0
2024-01-03 16:00:00+00:00,1220.0
2024-01-03 17:00:00+00:00,117.0
2024-01-03 18:00:00+00:00,42.0
2024-01-03 19:00:00+00:00,26.0
2024-01-03 20:00:00+00:00,4.0
2024-01-03 21:00:00+00:00,4.0
2024-01-03 22:00:00+00:00,4.0
2024-01-03 23:00:00+00:00,4.0
2024-01-04 00:00:00+00:00,4.0
2024-01-04 01:00:00+00:00,4.0
2024-01-04 02:00:00+00:00,4.0
2024-01-04 03:00:00+00:00,4.0
2024-01-04 04:00:00+00:00,4.0
2024-01-04 05:00:00+00:00,4.0
2024-01-04 06:00:00+00:00,4.0
2024-01-04 07:00:00+00:00,28.0
2024-01-04 08:00:00+00:00,763.0
2024-01-04 09:00:00+00:00,2327.0
2024-01-04 10:00:00+00:00,3267.0
2024-01-04 11:00:00+00:00,4154.0
2024-01-04 12:00:00+00:00,4100.0
2024-01-04 13:00:00+00:00,3786.0
2024-01-04 14:00:00+00:00,2929.0
2024-01-04 15:00:00+00:00,1903.0
2024-01-04 16:00:00+00:00,827.0
2024-01-04 17:00:00+00:00,63.0
2024-01-04 18:00:00+00:00,8.0
2024-01-04 19:00:00+00:00,8.0
2024-01-04 20:00:00+00:00,8.0
2024-01-04 21:00:00+00:00,8.0
2024-01-04 22:00:00+00:00,8.0
2024-01-04 23:00:00+00:00,8.0
2024-01-05 00:00:00+00:00,8.0
2024-01-05 01:00:00+00:00,8.0
2024-01-05 02:00:00+00:00,8.0
2024-01-05 03:00:00+00:00,8.0
2024-01-05 04:00:00+00:00,8.0
2024-01-05 05:00:00+00:00,8.0
2024-01-05 06:00:00+00:00,8.0
2024-01-05 07:00:00+00:00,23.0
2024-01-05 08:00:00+00:00,1394.0
2024-01-05 09:00:00+00:00,5435.0
2024-01-05 10:00:00+00:00,8129.0
2024-01-05 11:00:00+00:00,8923.0
2024-01-05 12:00:00+00:00,8829.0
2024-01-05 13:00:00+00:00,8921.0
2024-01-05 14:00:00+00:00,8377.0
2024-01-05 15:00:00+00:00,6879.0
2024-01-05 16:00:00+00:00,3140.0
2024-01-05 17:00:00+00:00,355.0
2024-01-05 18:00:00+00:00,116.0
2024-01-05 19:00:00+00:00,64.0
2024-01-05 20:00:00+00:00,36.0
2024-01-05 21:00:00+00:00,36.0
2024-01-05 22:00:00+00:00,36.0
2024-01-05 23:00:00+00:00,36.0
2024-01-06 00:00:00+00:00,36.0
2024-01-06 01:00:00+00:00,36.0
2024-01-06 02:00:00+00:00,36.0
2024-01-06 03:00:00+00:00,36.0
2024-01-06 04:00:00+00:00,36.0
2024-01-06 05:00:00+00:00,36.0
2024-01-06 06:00:00+00:00,23.0
2024-01-06 07:00:00+00:00,29.0
2024-01-06 08:00:00+00:00,1977.0
2024-01-06 09:00:00+00:00,7678.0
2024-01-06 10:00:00+00:00,10763.0
2024-01-06 11:00:00+00:00,11527.0
2024-01-06 12:00:00+00:00,11535.0
2024-01-06 13:00:00+00:00,11126.0
2024-01-06 14:00:00+00:00,10636.0
2024-01-06 15:00:00+00:00,8064.0
2024-01-06 16:00:00+00:00,2979.0
2024-01-06 17:00:00+00:00,295.0
2024-01-06 18:00:00+00:00,63.0
2024-01-06 19:00:00+00:00,12.0
2024-01-06 20:00:00+00:00,12.0
2024-01-06 21:00:00+00:00,12.0
2024-01-06 22:00:00+00:00,12.0
2024-01-06 23:00:00+00:00,12.0
2024-01-07 00:00:00+00:00,8.0
2024-01-07 01:00:00+00:00,8.0
2024-01-07 02:00:00+00:00,8.0
2024-01-07 03:00:00+00:00,8.0
