datetime_utc,Wind Onshore
2024-01-01 00:00:00+00:00,251.64
2024-01-01 01:00:00+00:00,281.24
2024-01-01 02:00:00+00:00,342.95
2024-01-01 03:00:00+00:00,358.73
2024-01-01 04:00:00+00:00,394.2
2024-01-01 05:00:00+00:00,421.72
2024-01-01 06:00:00+00:00,447.26
2024-01-01 07:00:00+00:00,453.97
2024-01-01 08:00:00+00:00,472.2
2024-01-01 09:00:00+00:00,472.5
2024-01-01 10:00:00+00:00,455.89
2024-01-01 11:00:00+00:00,479.51
2024-01-01 12:00:00+00:00,518.41
2024-01-01 13:00:00+00:00,562.54
2024-01-01 14:00:00+00:00,605.08
2024-01-01 15:00:00+00:00,672.06
2024-01-01 16:00:00+00:00,686.51
2024-01-01 17:00:00+00:00,673.85
2024-01-01 18:00:00+00:00,631.81
2024-01-01 19:00:00+00:00,624.34
2024-01-01 20:00:00+00:00,604.39
2024-01-01 21:00:00+00:00,542.56
2024-01-01 22:00:00+00:00,497.34
2024-01-01 23:00:00+00:00,488.92
2024-01-02 00:00:00+00:00,452.48
2024-01-02 01:00:00+00:00,406.97
2024-01-02 02:00:00+00:00,419.48
2024-01-02 03:00:00+00:00,395.04
2024-01-02 04:00:00+00:00,362.35
2024-01-02 05:00:00+00:00,356.48
2024-01-02 06:00:00+00:00,332.62
2024-01-02 07:00:00+00:00,301.36
2024-01-02 08:00:00+00:00,346.56
2024-01-02 09:00:00+00:00,341.93
2024-01-02 10:00:00+00:00,331.87
2024-01-02 11:00:00+00:00,360.62
2024-01-02 12:00:00+00:00,337.53
2024-01-02 13:00:00+00:00,378.85
2024-01-02 14:00:00+00:00,447.77
2024-01-02 15:00:00+00:00,465.19
2024-01-02 16:00:00+00:00,507.18
2024-01-02 17:00:00+00:00,534.66
2024-01-02 18:00:00+00:00,555.56
2024-01-02 19:00:00+00:00,583.41
2024-01-02 20:00:00+00:00,628.78
2024-01-02 21:00:00+00:00,638.78
2024-01-02 22:00:00+00:00,677.71
2024-01-02 23:00:00+00:00,687.45
2024-01-03 00:00:00+00:00,698.84
2024-01-03 01:00:00+00:00,725.97
2024-01-03 02:00:00+00:00,756.42
2024-01-03 03:00:00+00:00,763.47
2024-01-03 04:00:00+00:00,792.85
2024-01-03 05:00:00+00:00,817.14
2024-01-03 06:00:00+00:00,829.52
2024-01-03 07:00:00+00:00,802.91
2024-01-03 08:00:00+00:00,797.55
2024-01-03 09:00:00+00:00,799.39
2024-01-03 10:00:00+00:00,813.19
2024-01-03 11:00:00+00:00,811.33
2024-01-03 12:00:00+00:00,814.99
2024-01-03 13:00:00+00:00,804.97
2024-01-03 14:00:00+00:00,799.96
2024-01-03 15:00:00+00:00,788.72
2024-01-03 16:00:00+00:00,780.05
2024-01-03 17:00:00+00:00,770.81
2024-01-03 18:00:00+00:00,710.71
2024-01-03 19:00:00+00:00,699.68
2024-01-03 20:00:00+00:00,705.1
2024-01-03 21:00:00+00:00,677.21
2024-01-03 22:00:00+00:00,635.1
2024-01-03 23:00:00+00:00,607.12
2024-01-04 00:00:00+00:00,574.53
2024-01-04 01:00:00+00:00,563.21
2024-01-04 02:00:00+00:00,568.02
2024-01-04 03:00:00+00:00,557.86
2024-01-04 04:00:00+00:00,575.56
2024-01-04 05:00:00+00:00,605.28
2024-01-04 06:00:00+00:00,583.24
2024-01-04 07:00:00+00:00,543.31
2024-01-04 08:00:00+00:00,507.81
2024-01-04 09:00:00+00:00,490.07
2024-01-04 10:00:00+00:00,451.15
2024-01-04 11:00:00+00:00,427.65
2024-01-04 12:00:00+00:00,416.26
2024-01-04 13:00:00+00:00,405.86
2024-01-04 14:00:00+00:00,366.69
2024-01-04 15:00:00+00:00,313.62
2024-01-04 16:00:00+00:00,297.58
2024-01-04 17:00:00+00:00,264.53
2024-01-04 18:00:00+00:00,217.77
2024-01-04 19:00:00+00:00,168.8
2024-01-04 20:00:00+00:00,123.52
2024-01-04 21:00:00+00:00,90.76
2024-01-04 22:00:00+00:00,60.79
2024-01-04 23:00:00+00:00,48.07
2024-01-05 00:00:00+00:00,29.44
2024-01-05 01:00:00+00:00,23.78
2024-01-05 02:00:00+00:00,14.07
2024-01-05 03:00:00+00:00,25.54
2024-01-05 04:00:00+00:00,46.15
2024-01-05 05:00:00+00:00,74.87
2024-01-05 06:00:00+00:00,101.06
2024-01-05 07:00:00+00:00,117.94
2024-01-05 08:00:00+00:00,150.3
2024-01-05 09:00:00+00:00,95.18
2024-01-05 10:00:00+00:00,45.07
2024-01-05 11:00:00+00:00,41.24
2024-01-05 12:00:00+00:00,99.95
2024-01-05 13:00:00+00:00,208.71
2024-01-05 14:00:00+00:00,336.2
2024-01-05 15:00:00+00:00,437.46
2024-01-05 16:00:00+00:00,493.31
2024-01-05 17:00:00+00:00,492.32
2024-01-05 18:00:00+00:00,452.16
2024-01-05 19:00:00+00:00,382.29
2024-01-05 20:00:00+00:00,261.78
2024-01-05 21:00:00+00:00,207.54
2024-01-05 22:00:00+00:00,157.47
2024-01-05 23:00:00+00:00,125.95
2024-01-06 00:00:00+00:00,111.05
2024-01-06 01:00:00+00:00,100.63
2024-01-06 02:00:00+00:00,92.23
2024-01-06 03:00:00+00:00,108.78
2024-01-06 04:00:00+00:00,94.67
2024-01-06 05:00:00+00:00,104.36
2024-01-06 06:00:00+00:00,100.12
2024-01-06 07:00:00+00:00,108.17
2024-01-06 08:00:00+00:00,87.47
2024-01-06 09:00:00+00:00,78.9
2024-01-06 10:00:00+00:00,81.22
2024-01-06 11:00:00+00:00,77.1
2024-01-06 12:00:00+00:00,78.29
2024-01-06 13:00:00+00:00,88.59
2024-01-06 14:00:00+00:00,119.48
2024-01-06 15:00:00+00:00,156.59
2024-01-06 16:00:00+00:00,215.02
2024-01-06 17:00:00+00:00,274.09
2024-01-06 18:00:00+00:00,273.7
2024-01-06 19:00:00+00:00,267.32
2024-01-06 20:00:00+00:00,263.39
2024-01-06 21:00:00+00:00,266.0
2024-01-06 22:00:00+00:00,260.72
2024-01-06 23:00:00+00:00,270.71
2024-01-07 00:00:00+00:00,287.42
2024-01-07 01:00:00+00:00,319.39
2024-01-07 02:00:00+00:00,353.07
2024-01-07 03:00:00+00:00,309.4
2024-01-07 04:00:00+00:00,302.31
2024-01-07 05:00:00+00:00,310.47
2024-01-07 06:00:00+00:00,346.26
2024-01-07 07:00:00+00:00,357.93
2024-01-07 08:00:00+00:00,340.46
2024-01-07 09:00:00+00:00,269.48
2024-01-07 10:00:00+00:00,206.33
2024-01-07 11:00:00+00:00,164.93
2024-01-07 12:00:00+00:00,188.74
2024-01-07 13:00:00+00:00,233.82
2024-01-07 14:00:00+00:00,305.3
2024-01-07 15:00:00+00:00,326.22
2024-01-07 16:00:00+00:00,303.14
2024-01-07 17:00:00+00:00,330.48
2024-01-07 18:00:00+00:00,360.74
2024-01-07 19:00:00+00:00,380.69
2024-01-07 20:00:00+00:00,389.41
2024-01-07 21:00:00+00:00,390.42
2024-01-07 22:00:00+00:00,396.63
2024-01-07 23:00:00+00:00,397.7
2024-01-08 00:00:00+00:00,361.02
2024-01-08 01:00:00+00:00,313.25
2024-01-08 02:00:00+00:00,300.91
2024-01-08 03:00:00+00:00,270.6
2024-01-08 04:00:00+00:00,232.5
2024-01-08 05:00:00+00:00,189.84
2024-01-08 06:00:00+00:00,144.08
2024-01-08 07:00:00+00:00,88.36
2024-01-08 08:00:00+00:00,46.38
2024-01-08 09:00:00+00:00,13.91
2024-01-08 10:00:00+00:00,9.26
2024-01-08 11:00:00+00:00,34.14
2024-01-08 12:00:00+00:00,92.88
2024-01-08 13:00:00+00:00,167.51
2024-01-08 14:00:00+00:00,269.37
2024-01-08 15:00:00+00:00,377.07
2024-01-08 16:00:00+00:00,461.55
2024-01-08 17:00:00+00:00,542.55
2024-01-08 18:00:00+00:00,613.17
2024-01-08 19:00:00+00:00,678.37
2024-01-08 20:00:00+00:00,735.21
2024-01-08 21:00:00+00:00,744.19
2024-01-08 22:00:00+00:00,704.82
2024-01-08 23:00:00+00:00,636.8
2024-01-09 00:00:00+00:00,549.13
2024-01-09 01:00:00+00:00,434.62
2024-01-09 02:00:00+00:00,388.55
2024-01-09 03:00:00+00:00,328.69
2024-01-09 04:00:00+00:00,292.82
2024-01-09 05:00:00+00:00,296.18
2024-01-09 06:00:00+00:00,308.41
2024-01-09 07:00:00+00:00,329.53
2024-01-09 08:00:00+00:00,331.33
2024-01-09 09:00:00+00:00,366.13
2024-01-09 10:00:00+00:00,395.26
2024-01-09 11:00:00+00:00,462.68
2024-01-09 12:00:00+00:00,486.93
2024-01-09 13:00:00+00:00,482.61
2024-01-09 14:00:00+00:00,504.17
2024-01-09 15:00:00+00:00,527.99
2024-01-09 16:00:00+00:00,577.63
2024-01-09 17:00:00+00:00,590.09
2024-01-09 18:00:00+00:00,583.96
2024-01-09 19:00:00+00:00,610.1
2024-01-09 20:00:00+00:00,619.22
2024-01-09 21:00:00+00:00,603.62
2024-01-09 22:00:00+00:00,562.89
2024-01-09 23:00:00+00:00,579.17
2024-01-10 00:00:00+00:00,544.83
2024-01-10 01:00:00+00:00,538.37
2024-01-10 02:00:00+00:00,523.15
2024-01-10 03:00:00+00:00,503.29
2024-01-10 04:00:00+00:00,467.28
2024-01-10 05:00:00+00:00,402.03
2024-01-10 06:00:00+00:00,364.0
2024-01-10 07:00:00+00:00,379.18
2024-01-10 08:00:00+00:00,386.67
2024-01-10 09:00:00+00:00,426.94
2024-01-10 10:00:00+00:00,417.27
2024-01-10 11:00:00+00:00,452.45
2024-01-10 12:00:00+00:00,509.37
2024-01-10 13:00:00+00:00,585.76
2024-01-10 14:00:00+00:00,631.66
2024-01-10 15:00:00+00:00,692.79
2024-01-10 16:00:00+00:00,709.21
2024-01-10 17:00:00+00:00,735.6
