datetime_utc,Solar
2024-01-01 00:00:00+00:00,0.01
2024-01-01 01:00:00+00:00,0.0075
2024-01-01 02:00:00+00:00,0.0
2024-01-01 03:00:00+00:00,0.0
2024-01-01 04:00:00+00:00,0.0025
2024-01-01 05:00:00+00:00,0.005
2024-01-01 06:00:00+00:00,0.0
2024-01-01 07:00:00+00:00,0.175
2024-01-01 08:00:00+00:00,4.03
2024-01-01 09:00:00+00:00,11.7625
2024-01-01 10:00:00+00:00,25.405
2024-01-01 11:00:00+00:00,35.1125
2024-01-01 12:00:00+00:00,24.2825
2024-01-01 13:00:00+00:00,17.3325
2024-01-01 14:00:00+00:00,6.9475
2024-01-01 15:00:00+00:00,0.9825
2024-01-01 16:00:00+00:00,0.0025
2024-01-01 17:00:00+00:00,0.01
2024-01-01 18:00:00+00:00,0.0075
2024-01-01 19:00:00+00:00,0.0025
2024-01-01 20:00:00+00:00,0.0
2024-01-01 21:00:00+00:00,0.0075
2024-01-01 22:00:00+00:00,0.0025
2024-01-01 23:00:00+00:00,0.005
2024-01-02 00:00:00+00:00,0.01
2024-01-02 01:00:00+00:00,0.0075
2024-01-02 02:00:00+00:00,0.0
2024-01-02 03:00:00+00:00,0.0025
2024-01-02 04:00:00+00:00,0.0
2024-01-02 05:00:00+00:00,0.0025
2024-01-02 06:00:00+00:00,0.005
2024-01-02 07:00:00+00:00,0.0125
2024-01-02 08:00:00+00:00,1.515
2024-01-02 09:00:00+00:00,5.19
2024-01-02 10:00:00+00:00,5.845000000000001
2024-01-02 11:00:00+00:00,5.445
2024-01-02 12:00:00+00:00,3.7675
2024-01-02 13:00:00+00:00,3.1875
2024-01-02 14:00:00+00:00,1.165
2024-01-02 15:00:00+00:00,0.1075
2024-01-02 16:00:00+00:00,0.005
2024-01-02 17:00:00+00:00,0.01
2024-01-02 18:00:00+00:00,0.005
2024-01-02 19:00:00+00:00,0.0
2024-01-02 20:00:00+00:00,0.005
2024-01-02 21:00:00+00:00,0.005
2024-01-02 22:00:00+00:00,0.0
2024-01-02 23:00:00+00:00,0.01
2024-01-03 00:00:00+00:00,0.0075
2024-01-03 01:00:00+00:00,0.0
2024-01-03 02:00:00+00:00,0.0
2024-01-03 03:00:00+00:00,0.0025
2024-01-03 04:00:00+00:00,0.0
2024-01-03 05:00:00+00:00,0.005
2024-01-03 06:00:00+00:00,0.0075
2024-01-03 07:00:00+00:00,0.2875
2024-01-03 08:00:00+00:00,7.33
2024-01-03 09:00:00+00:00,19.245
2024-01-03 10:00:00+00:00,28.525
2024-01-03 11:00:00+00:00,21.4925
2024-01-03 12:00:00+00:00,32.02
2024-01-03 13:00:00+00:00,19.555
2024-01-03 14:00:00+00:00,6.0825000000000005
2024-01-03 15:00:00+00:00,0.32
2024-01-03 16:00:00+00:00,0.005
2024-01-03 17:00:00+00:00,0.005
2024-01-03 18:00:00+00:00,0.0025
2024-01-03 19:00:00+00:00,0.0025
2024-01-03 20:00:00+00:00,0.0025
2024-01-03 21:00:00+00:00,0.0
2024-01-03 22:00:00+00:00,0.01
