datetime_utc,Wind Onshore
2024-01-01 00:00:00+00:00,2485.7
2024-01-01 01:00:00+00:00,2365.05
2024-01-01 02:00:00+00:00,2248.58
2024-01-01 03:00:00+00:00,2056.19
2024-01-01 04:00:00+00:00,1904.76
2024-01-01 05:00:00+00:00,1602.08
2024-01-01 06:00:00+00:00,1348.1
2024-01-01 07:00:00+00:00,1412.44
2024-01-01 08:00:00+00:00,1465.95
2024-01-01 09:00:00+00:00,1439.84
2024-01-01 10:00:00+00:00,1258.25
2024-01-01 11:00:00+00:00,1218.05
2024-01-01 12:00:00+00:00,1246.59
2024-01-01 13:00:00+00:00,1327.5
2024-01-01 14:00:00+00:00,1486.75
2024-01-01 15:00:00+00:00,1757.21
2024-01-01 16:00:00+00:00,2052.68
2024-01-01 17:00:00+00:00,2263.68
2024-01-01 18:00:00+00:00,2303.18
2024-01-01 19:00:00+00:00,2455.93
2024-01-01 20:00:00+00:00,2349.49
2024-01-01 21:00:00+00:00,2238.69
2024-01-01 22:00:00+00:00,2194.75
2024-01-01 23:00:00+00:00,2133.99
2024-01-02 00:00:00+00:00,2017.08
2024-01-02 01:00:00+00:00,1924.53
2024-01-02 02:00:00+00:00,1889.4
2024-01-02 03:00:00+00:00,1695.2
2024-01-02 04:00:00+00:00,1536.49
2024-01-02 05:00:00+00:00,1315.66
2024-01-02 06:00:00+00:00,1220.23
2024-01-02 07:00:00+00:00,1216.13
2024-01-02 08:00:00+00:00,1266.99
2024-01-02 09:00:00+00:00,1308.25
2024-01-02 10:00:00+00:00,1155.78
2024-01-02 11:00:00+00:00,1161.5
2024-01-02 12:00:00+00:00,1347.38
2024-01-02 13:00:00+00:00,1733.2
2024-01-02 14:00:00+00:00,2242.69
2024-01-02 15:00:00+00:00,2675.41
2024-01-02 16:00:00+00:00,2995.24
2024-01-02 17:00:00+00:00,3185.84
2024-01-02 18:00:00+00:00,3586.51
2024-01-02 19:00:00+00:00,3858.51
2024-01-02 20:00:00+00:00,4044.0
2024-01-02 21:00:00+00:00,4239.66
2024-01-02 22:00:00+00:00,4340.81
2024-01-02 23:00:00+00:00,4466.48
2024-01-03 00:00:00+00:00,4729.76
2024-01-03 01:00:00+00:00,4840.05
2024-01-03 02:00:00+00:00,4819.96
2024-01-03 03:00:00+00:00,4843.15
2024-01-03 04:00:00+00:00,4918.86
2024-01-03 05:00:00+00:00,4936.69
2024-01-03 06:00:00+00:00,4940.54
2024-01-03 07:00:00+00:00,4812.05
2024-01-03 08:00:00+00:00,4936.4
2024-01-03 09:00:00+00:00,4982.9
2024-01-03 10:00:00+00:00,4881.78
2024-01-03 11:00:00+00:00,4456.33
2024-01-03 12:00:00+00:00,4124.73
