datetime_utc,Solar
2024-01-01 00:00:00+00:00,0.21
2024-01-01 01:00:00+00:00,0.21
2024-01-01 02:00:00+00:00,0.21
2024-01-01 03:00:00+00:00,0.21
2024-01-01 04:00:00+00:00,0.23
2024-01-01 05:00:00+00:00,0.27
2024-01-01 06:00:00+00:00,0.27
2024-01-01 07:00:00+00:00,0.5
2024-01-01 08:00:00+00:00,1.45
2024-01-01 09:00:00+00:00,4.04
2024-01-01 10:00:00+00:00,6.47
2024-01-01 11:00:00+00:00,6.45
2024-01-01 12:00:00+00:00,4.58
2024-01-01 13:00:00+00:00,1.89
2024-01-01 14:00:00+00:00,0.47
2024-01-01 15:00:00+00:00,0.23
2024-01-01 16:00:00+00:00,0.23
2024-01-01 17:00:00+00:00,0.23
2024-01-01 18:00:00+00:00,0.22
2024-01-01 19:00:00+00:00,0.22
2024-01-01 20:00:00+00:00,0.23
2024-01-01 21:00:00+00:00,0.22
2024-01-01 22:00:00+00:00,0.23
2024-01-01 23:00:00+00:00,0.0
2024-01-02 00:00:00+00:00,0.0
2024-01-02 01:00:00+00:00,0.0
2024-01-02 02:00:00+00:00,0.0
2024-01-02 03:00:00+00:00,0.0
2024-01-02 04:00:00+00:00,0.0
2024-01-02 05:00:00+00:00,0.0
2024-01-02 06:00:00+00:00,0.2
2024-01-02 07:00:00+00:00,0.37
2024-01-02 08:00:00+00:00,2.56
2024-01-02 09:00:00+00:00,8.01
2024-01-02 10:00:00+00:00,11.81
2024-01-02 11:00:00+00:00,12.17
2024-01-02 12:00:00+00:00,8.21
2024-01-02 13:00:00+00:00,3.07
2024-01-02 14:00:00+00:00,0.65
2024-01-02 15:00:00+00:00,0.1
2024-01-02 16:00:00+00:00,0.1
2024-01-02 17:00:00+00:00,0.1
2024-01-02 18:00:00+00:00,0.0
2024-01-02 19:00:00+00:00,0.0
2024-01-02 20:00:00+00:00,0.0
2024-01-02 21:00:00+00:00,0.0
2024-01-02 22:00:00+00:00,0.0
2024-01-02 23:00:00+00:00,0.0
2024-01-03 00:00:00+00:00,0.0
2024-01-03 01:00:00+00:00,0.0
2024-01-03 02:00:00+00:00,0.0
2024-01-03 03:00:00+00:00,0.0
2024-01-03 04:00:00+00:00,0.0
2024-01-03 05:00:00+00:00,0.0
2024-01-03 06:00:00+00:00,0.0
2024-01-03 07:00:00+00:00,0.03
2024-01-03 08:00:00+00:00,0.69
2024-01-03 09:00:00+00:00,3.09
2024-01-03 10:00:00+00:00,5.81
2024-01-03 11:00:00+00:00,5.87
2024-01-03 12:00:00+00:00,3.49
2024-01-03 13:00:00+00:00,1.31
2024-01-03 14:00:00+00:00,0.3
2024-01-03 15:00:00+00:00,0.0
2024-01-03 16:00:00+00:00,0.0
2024-01-03 17:00:00+00:00,0.0
2024-01-03 18:00:00+00:00,0.0
2024-01-03 19:00:00+00:00,0.0
2024-01-03 20:00:00+00:00,0.0
2024-01-03 21:00:00+00:00,0.0
2024-01-03 22:00:00+00:00,0.0
2024-01-03 23:00:00+00:00,0.0
2024-01-04 00:00:00+00:00,0.0
2024-01-04 01:00:00+00:00,0.0
2024-01-04 02:00:00+00:00,0.0
2024-01-04 03:00:00+00:00,0.0
2024-01-04 04:00:00+00:00,0.0
2024-01-04 05:00:00+00:00,0.0
2024-01-04 06:00:00+00:00,0.0
2024-01-04 07:00:00+00:00,0.06
2024-01-04 08:00:00+00:00,1.22
2024-01-04 09:00:00+00:00,6.78
2024-01-04 10:00:00+00:00,15.91
2024-01-04 11:00:00+00:00,19.34
2024-01-04 12:00:00+00:00,14.21
2024-01-04 13:00:00+00:00,5.84
2024-01-04 14:00:00+00:00,0.94
2024-01-04 15:00:00+00:00,0.0
2024-01-04 16:00:00+00:00,0.0
2024-01-04 17:00:00+00:00,0.0
2024-01-04 18:00:00+00:00,0.0
2024-01-04 19:00:00+00:00,0.0
2024-01-04 20:00:00+00:00,0.0
2024-01-04 21:00:00+00:00,0.0
2024-01-04 22:00:00+00:00,0.0
2024-01-04 23:00:00+00:00,0.0
2024-01-05 00:00:00+00:00,0.0
2024-01-05 01:00:00+00:00,0.0
2024-01-05 02:00:00+00:00,0.0
2024-01-05 03:00:00+00:00,0.0
2024-01-05 04:00:00+00:00,0.0
2024-01-05 05:00:00+00:00,0.0
2024-01-05 06:00:00+00:00,0.0
2024-01-05 07:00:00+00:00,0.61
2024-01-05 08:00:00+00:00,9.73
2024-01-05 09:00:00+00:00,34.63
2024-01-05 10:00:00+00:00,60.75
2024-01-05 11:00:00+00:00,66.46
2024-01-05 12:00:00+00:00,45.91
2024-01-05 13:00:00+00:00,19.1
2024-01-05 14:00:00+00:00,3.32
2024-01-05 15:00:00+00:00,0.0
2024-01-05 16:00:00+00:00,0.0
2024-01-05 17:00:00+00:00,0.0
2024-01-05 18:00:00+00:00,0.0
2024-01-05 19:00:00+00:00,0.0
2024-01-05 20:00:00+00:00,0.0
2024-01-05 21:00:00+00:00,0.0
2024-01-05 22:00:00+00:00,0.0
2024-01-05 23:00:00+00:00,0.05
2024-01-06 00:00:00+00:00,0.05
2024-01-06 01:00:00+00:00,0.05
2024-01-06 02:00:00+00:00,0.05
2024-01-06 03:00:00+00:00,0.06
2024-01-06 04:00:00+00:00,0.06
2024-01-06 05:00:00+00:00,0.06
2024-01-06 06:00:00+00:00,0.06
2024-01-06 07:00:00+00:00,0.75
2024-01-06 08:00:00+00:00,12.04
2024-01-06 09:00:00+00:00,40.14
2024-01-06 10:00:00+00:00,68.36
2024-01-06 11:00:00+00:00,75.18
2024-01-06 12:00:00+00:00,53.78
2024-01-06 13:00:00+00:00,23.81
2024-01-06 14:00:00+00:00,4.12
2024-01-06 15:00:00+00:00,0.06
2024-01-06 16:00:00+00:00,0.06
2024-01-06 17:00:00+00:00,0.06
2024-01-06 18:00:00+00:00,0.06
2024-01-06 19:00:00+00:00,0.06
2024-01-06 20:00:00+00:00,0.06
2024-01-06 21:00:00+00:00,0.06
2024-01-06 22:00:00+00:00,0.05
2024-01-06 23:00:00+00:00,0.06
2024-01-07 00:00:00+00:00,0.06
2024-01-07 01:00:00+00:00,0.06
2024-01-07 02:00:00+00:00,0.06
2024-01-07 03:00:00+00:00,0.06
2024-01-07 04:00:00+00:00,0.06
2024-01-07 05:00:00+00:00,0.06
2024-01-07 06:00:00+00:00,0.06
2024-01-07 07:00:00+00:00,0.58
2024-01-07 08:00:00+00:00,9.05
2024-01-07 09:00:00+00:00,30.21
2024-01-07 10:00:00+00:00,52.34
2024-01-07 11:00:00+00:00,56.12
2024-01-07 12:00:00+00:00,42.62
2024-01-07 13:00:00+00:00,17.58
2024-01-07 14:00:00+00:00,3.58
2024-01-07 15:00:00+00:00,0.06
2024-01-07 16:00:00+00:00,0.06
2024-01-07 17:00:00+00:00,0.06
2024-01-07 18:00:00+00:00,0.06
2024-01-07 19:00:00+00:00,0.06
2024-01-07 20:00:00+00:00,0.06
2024-01-07 21:00:00+00:00,0.06
2024-01-07 22:00:00+00:00,0.06
2024-01-07 23:00:00+00:00,0.0
2024-01-08 00:00:00+00:00,0.0
2024-01-08 01:00:00+00:00,0.0
2024-01-08 02:00:00+00:00,0.0
2024-01-08 03:00:00+00:00,0.0
2024-01-08 04:00:00+00:00,0.0
2024-01-08 05:00:00+00:00,0.0
2024-01-08 06:00:00+00:00,0.0
2024-01-08 07:00:00+00:00,0.81
2024-01-08 08:00:00+00:00,12.84
2024-01-08 09:00:00+00:00,39.95
2024-01-08 10:00:00+00:00,66.69
2024-01-08 11:00:00+00:00,75.55
2024-01-08 12:00:00+00:00,55.38
2024-01-08 13:00:00+00:00,24.15
2024-01-08 14:00:00+00:00,4.05
2024-01-08 15:00:00+00:00,0.0
2024-01-08 16:00:00+00:00,0.0
2024-01-08 17:00:00+00:00,0.0
2024-01-08 18:00:00+00:00,0.0
2024-01-08 19:00:00+00:00,0.0
2024-01-08 20:00:00+00:00,0.0
2024-01-08 21:00:00+00:00,0.0
2024-01-08 22:00:00+00:00,0.0
2024-01-08 23:00:00+00:00,0.01
2024-01-09 00:00:00+00:00,0.02
2024-01-09 01:00:00+00:00,0.01
2024-01-09 02:00:00+00:00,0.01
2024-01-09 03:00:00+00:00,0.01
2024-01-09 04:00:00+00:00,0.02
2024-01-09 05:00:00+00:00,0.03
2024-01-09 06:00:00+00:00,0.03
2024-01-09 07:00:00+00:00,0.97
2024-01-09 08:00:00+00:00,8.8
2024-01-09 09:00:00+00:00,26.32
2024-01-09 10:00:00+00:00,49.07
2024-01-09 11:00:00+00:00,56.91
2024-01-09 12:00:00+00:00,41.13
2024-01-09 13:00:00+00:00,15.02
2024-01-09 14:00:00+00:00,2.53
2024-01-09 15:00:00+00:00,0.31
2024-01-09 16:00:00+00:00,0.35
2024-01-09 17:00:00+00:00,0.3
2024-01-09 18:00:00+00:00,0.25
2024-01-09 19:00:00+00:00,0.25
2024-01-09 20:00:00+00:00,0.22
2024-01-09 21:00:00+00:00,0.22
2024-01-09 22:00:00+00:00,0.22
2024-01-09 23:00:00+00:00,0.0
2024-01-10 00:00:00+00:00,0.0
2024-01-10 01:00:00+00:00,0.0
2024-01-10 02:00:00+00:00,0.0
2024-01-10 03:00:00+00:00,0.0
2024-01-10 04:00:00+00:00,0.0
2024-01-10 05:00:00+00:00,0.0
2024-01-10 06:00:00+00:00,0.0
2024-01-10 07:00:00+00:00,0.69
2024-01-10 08:00:00+00:00,9.61
2024-01-10 09:00:00+00:00,34.79
2024-01-10 10:00:00+00:00,58.32
2024-01-10 11:00:00+00:00,63.12
2024-01-10 12:00:00+00:00,44.67
2024-01-10 13:00:00+00:00,19.81
2024-01-10 14:00:00+00:00,4.13
2024-01-10 15:00:00+00:00,0.0
2024-01-10 16:00:00+00:00,0.0
2024-01-10 17:00:00+00:00,0.0
2024-01-10 18:00:00+00:00,0.0
2024-01-10 19:00:00+00:00,0.0
2024-01-10 20:00:00+00:00,0.0
2024-01-10 21:00:00+00:00,0.0
2024-01-10 22:00:00+00:00,0.0
2024-01-10 23:00:00+00:00,0.0
2024-01-11 00:00:00+00:00,0.0
2024-01-11 01:00:00+00:00,0.0
2024-01-11 02:00:00+00:00,0.0
2024-01-11 03:00:00+00:00,0.0
2024-01-11 04:00:00+00:00,0.0
2024-01-11 05:00:00+00:00,0.0
2024-01-11 06:00:00+00:00,0.0
2024-01-11 07:00:00+00:00,0.68
2024-01-11 08:00:00+00:00,10.91
2024-01-11 09:00:00+00:00,35.84
2024-01-11 10:00:00+00:00,61.83
2024-01-11 11:00:00+00:00,71.64
2024-01-11 12:00:00+00:00,56.81
2024-01-11 13:00:00+00:00,26.64
2024-01-11 14:00:00+00:00,5.83
2024-01-11 15:00:00+00:00,0.01
2024-01-11 16:00:00+00:00,0.01
2024-01-11 17:00:00+00:00,0.01
2024-01-11 18:00:00+00:00,0.01
2024-01-11 19:00:00+00:00,0.01
