Country,Energy_Type,MAE_MW,Test_Peak_MW,Error_Percentage,Status
AT,Solar,364.33,1975.0,18.4,Success
AT,Wind_Onshore,1189.34,3498.0,34.0,Success
BE,Solar,792.77,4067.87,19.5,Success
BE,Wind_Offshore,868.8,2130.75,40.8,Success
BE,Wind_Onshore,698.85,2454.14,28.5,Success
BG,Solar,341.8,2546.1,13.4,Success
BG,Wind_Onshore,164.15,584.41,28.1,Success
CH,Solar,492.97,1763.64,28.0,Success
CH,Wind_Onshore,12.14,71.96,16.9,Success
CZ,Solar,184.4,1795.6,10.3,Success
CZ,Wind_Onshore,45.86,252.5,18.2,Success
DE,Solar,2936.01,23778.55,12.3,Success
DE,Wind_Offshore,1717.53,7397.25,23.2,Success
DE,Wind_Onshore,10957.52,44828.47,24.4,Success
DK,Solar,55.7,1541.08,3.6,Success
DK,Wind_Offshore,821.56,2408.7,34.1,Success
DK,Wind_Onshore,2222.84,4022.18,55.3,Success
EE,Solar,124.45,440.4,28.3,Success
EE,Wind_Onshore,183.6,588.4,31.2,Success
ES,Solar,2435.1,15725.0,15.5,Success
ES,Wind_Offshore,0.0,0.0,0.0,Success
ES,Wind_Onshore,4473.81,19521.0,22.9,Success
FI,Solar,30.74,212.1,14.5,Success
FI,Wind_Onshore,2230.92,6950.12,32.1,Success
FR,Solar,1842.93,9599.0,19.2,Success
FR,Wind_Offshore,612.89,1442.0,42.5,Success
FR,Wind_Onshore,4582.59,17919.0,25.6,Success
GR,Solar,923.73,5755.0,16.1,Success
GR,Wind_Onshore,1148.53,3414.0,33.6,Success
HR,Solar,25.73,149.3,17.2,Success
HR,Wind_Onshore,346.05,998.8,34.6,Success
HU,Solar,461.28,2896.66,15.9,Success
HU,Wind_Onshore,82.61,286.03,28.9,Success
IE,Solar,0.0,0.0,0.0,Success
IE,Wind_Onshore,1097.19,3681.28,29.8,Success
IT,Solar,671.31,11129.0,6.0,Success
IT,Wind_Offshore,6.77,30.0,22.6,Success
IT,Wind_Onshore,2041.05,8358.0,24.4,Success
LT,Solar,152.46,442.72,34.4,Success
LT,Wind_Onshore,394.18,1234.61,31.9,Success
LU,Solar,36.62,108.32,33.8,Success
LU,Wind_Onshore,66.12,195.94,33.7,Success
LV,Solar,62.19,199.52,31.2,Success
LV,Wind_Onshore,62.53,118.32,52.9,Success
NL,Solar,47.79,172.76,27.7,Success
NL,Wind_Offshore,1416.02,4082.7,34.7,Success
NL,Wind_Onshore,724.24,2531.67,28.6,Success
NO,Solar,0.28,1.39,20.2,Success
NO,Wind_Onshore,744.39,4196.11,17.7,Success
PL,Solar,1493.54,7924.54,18.8,Success
PL,Wind_Onshore,4009.06,8669.98,46.2,Success
PT,Solar,378.84,2170.3,17.5,Success
PT,Wind_Offshore,6.61,25.0,26.4,Success
PT,Wind_Onshore,1159.84,4775.7,24.3,Success
RO,Solar,184.99,1131.25,16.4,Success
RO,Wind_Onshore,828.93,2677.5,31.0,Success
SE,Solar,48.65,609.22,8.0,Success
SE,Wind_Onshore,2558.67,12376.57,20.7,Success
SI,Solar,19.09,236.1,8.1,Success
SI,Wind_Onshore,0.95,3.36,28.4,Success
SK,Solar,38.69,284.5,13.6,Success
SK,Wind_Onshore,0.5,2.4,20.7,Success
UK,Wind_Onshore,193.61,851.8,22.7,Success
